LIS Test Description,Lab
"MOG_Glucose, fasting_mmol/L",AST
Fasting glucose,AST
"Glucose fasting, plasma",AST
Glucose Fasting,AST
Antibody to Hepatitis C virus (Anti-HCV)                        :,Anti-HCV
Anti-HCV,Anti-HCV
Anti-HCV :-,Anti-HCV
Anti-HCV:,Anti-HCV
Interpretation,
Anti-HCV         :,Anti-HCV
Urgent Viral Serology Anti-HCV,Anti-HCV
Antibody to Hepatitis C virus (Anti-HCV Dot Immuno-gold Assay)  :,Anti-HCV
Hepatitis Anti-HCV,Anti-HCV
Antibody to Hepatitis C virus - Confirmatory assay              :,Anti-HCV
Ortho HCV INT,Anti-HCV
Screening test for antibody to Hepatitis C virus                :,Cr
Total Antibody to Hepatitis C Virus,Anti-HCV
AFP(*),AFP
"AFP, Serum",AFP
Serum AFP,AFP
AFP,AFP
Alpha-fetoprotein,AFP
AFP(Arch't),AFP
MTM_Alpha fetoprotein_ug/L,AFP
Alphafetoprotein,AFP
GGT,GGT
Gamma GT,GGT
Gamma-glutamyltransferase (GGT),GGT
MBI_Gamma GT_U/L,GGT
GGTP,GGT
Anti-HDV:,Anti-HDV
Anti-Delta :,Anti-HDV
Total antibody to Hepatitis D virus (Anti-HDV total) :,Anti-HDV
Anti-Delta:,Anti-HDV
Anti-HDV,Anti-HDV
Hepatitis Anti-DELTA,Anti-HDV
Anti-DELTA :,Anti-HDV
Anti-Delta antigen,Anti-HDV
HDV antibody,Anti-HDV
Antibody to Hepatitis D virus,Anti-HDV
Anti-DELTA,Anti-HDV
Anti-HDV (IgG),Anti-HDV
Total antibody to Hepatitis D virus (Anti-HDV total)            :,Anti-HDV
Anti-DELTA       :,Anti-HDV
Platelet,PLT
PLT,PLT
MHA_PLT_x10^9/L,PLT
Platelet Count,PLT
MHA_PLATELET_X10^9/L,PLT
Anti-HDV:,Anti-HDV
Total antibody to Hepatitis D virus (Anti-HDV total)            :,Anti-HDV
Anti-Delta       :,Anti-HDV
Anti-Delta:,Anti-HDV
Anti-HDV,Anti-HDV
Hepatitis Anti-DELTA,Anti-HDV
Anti-DELTA       :,Anti-HDV
Anti-Delta antigen,Anti-HDV
Anti-DELTA,Anti-HDV
Antibody to Hepatitis D virus (Anti-HDV) :,Anti-HDV
HDV antibody,Anti-HDV
Anti-HDV (IgG),Anti-HDV
Antibody to Hepatitis D virus,Anti-HDV
Hb A1c,HbA1c
HbA1C,HbA1c
Haemoglobin A1c,HbA1c
Haemoglobin A1c (IFCC),HbA1c
Hemoglobin A1c (IM),HbA1c
Hemoglobin A1c (IFCC),HbA1c
A1C_Hb A1c (HPLC)_%,HbA1c
HbA1c,HbA1c
Whole Blood HbA1c,HbA1c
Hemoglobin A1C,HbA1c
INR,INR
INR(*),INR
MPT_INR,INR
INR (OLM),INR
INR1,INR
OINR1,INR
INR2,INR
HbA1c,HbA1c
HbA1c (IFCC),HbA1c
Hb A1c,HbA1c
Haemoglobin A1c,HbA1c
Haemoglobin A1c (IFCC),HbA1c
Hemoglobin A1c (IFCC),HbA1c
Hemoglobin A1c (IM),HbA1c
HbA1C,HbA1c
A1C_Hb A1c (HPLC)_%,HbA1c
Anti-HDV:,Anti-HDV
Anti-Delta :,Anti-HDV
Total antibody to Hepatitis D virus (Anti-HDV total) :,Anti-HDV
Anti-Delta:,Anti-HDV
Anti-HDV,Anti-HDV
Hepatitis Anti-DELTA,Anti-HDV
Anti-DELTA :,Anti-HDV
Anti-Delta antigen,Anti-HDV
HDV antibody,Anti-HDV
Antibody to Hepatitis D virus,Anti-HDV
Anti-DELTA,Anti-HDV
Anti-HDV (IgG),Anti-HDV
Total antibody to Hepatitis D virus (Anti-HDV total)            :,Anti-HDV
Anti-DELTA       :,Anti-HDV
Creatinine,Cr
Creatini,Cr
MBI_Creatinine_umol/L,Cr
"Creatinine, Seru",Cr
Creat (blood),Cr
Creat (Serum),Cr
Creatinine (old),Cr
Serum Creatinine,Cr
Plasma Creatinine,Cr
MBI_Crea,Cr
Serum Cr,Cr
Se. Creatinine,Cr
MUR_Serum Creatinine_umol/L,Cr
Anti-HDV:,Anti-HDV
Total antibody to Hepatitis D virus (Anti-HDV total)            :,Anti-HDV
Anti-Delta       :,Anti-HDV
Anti-Delta:,Anti-HDV
Anti-HDV,Anti-HDV
Hepatitis Anti-DELTA,Anti-HDV
Anti-DELTA       :,Anti-HDV
Anti-Delta antigen,Anti-HDV
Anti-DELTA,Anti-HDV
Antibody to Hepatitis D virus (Anti-HDV) :,Anti-HDV
HDV antibody,Anti-HDV
Anti-HDV (IgG),Anti-HDV
Antibody to Hepatitis D virus,Anti-HDV
Anti-DELTA,Anti-HDV
Anti-Delta       :,Anti-HDV
Anti-DELTA       :,Anti-HDV
Anti-Delta antigen,Anti-HDV
Anti-Delta:,Anti-HDV
Anti-HDV,Anti-HDV
ANTI-HDV,Anti-HDV
Anti-HDV (IgG),Anti-HDV
Anti-HDV:,Anti-HDV
Antibody to Hepatitis D virus,Anti-HDV
Antibody to Hepatitis D virus (Anti-HDV) :,Anti-HDV
HDV antibody,Anti-HDV
Hepatitis Anti-DELTA,Anti-HDV
Total antibody to Hepatitis D virus (Anti-HDV total)            :,Anti-HDV
Anti-HBc (IgM),Hb
Anti-HBc IgM,Hb
Anti-HBc IgM     :,Hb
Anti-HBc IgM   :,Hb
Anti-HBc IgM :-,Hb
Anti-HBc IgM:,Hb
HBc IgM          :,Hb
"Hemoglobin C, IgM",Hb
Hepatitis Anti-HBc IgM,Hb
IgM antibody to Hepatitis B - core antigen (Anti-HBc IgM)       :,Hb
GGT,GGT
Gamma GT,GGT
Gamma-glutamyltransferase (GGT),GGT
GGTP,GGT
MBI_Gamma GT_U/L,GGT
MBI_Gamma GT,GGT
"Hemoglobin C, IgM",Hb
Anti-HBc IgM:,Hb
Anti-HDV:,Anti-HDV
Anti-HBc (IgM),Hb
IgM antibody to Hepatitis B - core antigen (Anti-HBc IgM)       :,Hb
Anti-HBc IgM,Hb
ANTI-HDV,Anti-HDV
Anti-HBc IgM :-,Hb
Hepatitis Anti-HBc IgM,Hb
Anti-HDV,Anti-HDV
Anti-HDV (IgG),Anti-HDV
Total antibody to Hepatitis D virus (Anti-HDV total)            :,Anti-HDV
Hepatitis Anti-DELTA,Anti-HDV
Anti-HBc IgM   :,Hb
Anti-HBc IgM     :,Hb
HBc IgM          :,Hb
Anti-Delta       :,Anti-HDV
Anti-Delta antigen,Anti-HDV
Anti-DELTA       :,Anti-HDV
Antibody to Hepatitis D virus (Anti-HDV) :,Anti-HDV
Anti-DELTA,Anti-HDV
Anti-Delta:,Anti-HDV
Antibody to Hepatitis D virus,Anti-HDV
HDV antibody,Anti-HDV
Fasting Plasma Glucose,AST
Glucose(Fasting),AST
"Glucose, Fasting",AST
Fasting Glucose,AST
"Glucose, fasting",AST
Glucose fasting,AST
"MBI_Glucose, Fasting_mmol/L",AST
Glucose (fasting),AST
"MOG_Glucose, fasting_mmol/L",AST
Glucose Fasting,AST
"Glucose fasting, plasma",AST
Fasting glucose,AST
Glucose (Fasting),AST
ALT,ALT
Alanine Aminotransferase,ALT
ALT/GPT,ALT
ALT (SGPT),ALT
MBI_ALANINE AMINOTRANSFERASE_U/L,ALT
MBI_GPT/ALT_U/L,ALT
Alanine Transaminase,ALT
Anti-HBc IgM:,Hb
Anti-HBc (IgM),Hb
Hepatitis Anti-HBc IgM,Hb
IgM antibody to Hepatitis B - core antigen (Anti-HBc IgM)       :,Hb
Anti-HBc IgM :-,Hb
Anti-HDV,Anti-HDV
Total antibody to Hepatitis D virus (Anti-HDV total)            :,Anti-HDV
Hepatitis Anti-DELTA,Anti-HDV
"Hemoglobin C, IgM",Hb
Anti-Delta antigen,Anti-HDV
HBc IgM          :,Hb
Anti-HBc IgM   :,Hb
Anti-Delta       :,Anti-HDV
Anti-HBc IgM,Hb
Anti-DELTA       :,Anti-HDV
Antibody to Hepatitis D virus,Anti-HDV
Anti-Delta:,Anti-HDV
Anti-HDV:,Anti-HDV
Anti-DELTA,Anti-HDV
HDV antibody,Anti-HDV
Anti-HBc IgM     :,Hb
Anti-HDV (IgG),Anti-HDV
ANTI-HDV,Anti-HDV
Antibody to Hepatitis D virus (Anti-HDV) :,Anti-HDV
"Bilirubin,Total",Tb
Total Bilirubin,Tb
"Bilirubin, total",Tb
Bilirubin (Total),Tb
MBI_Total Bilirubin_umol/L,Tb
Total Bili.,Tb
Anti-HDV:,Anti-HDV
ANTI-HDV,Anti-HDV
Anti-HDV,Anti-HDV
Anti-HDV (IgG),Anti-HDV
Total antibody to Hepatitis D virus (Anti-HDV total)            :,Anti-HDV
Hepatitis Anti-DELTA,Anti-HDV
Anti-Delta       :,Anti-HDV
Anti-Delta antigen,Anti-HDV
Anti-DELTA       :,Anti-HDV
Antibody to Hepatitis D virus (Anti-HDV) :,Anti-HDV
Anti-DELTA,Anti-HDV
Anti-Delta:,Anti-HDV
Antibody to Hepatitis D virus,Anti-HDV
HDV antibody,Anti-HDV
Hb A1c,HbA1c
A1C_Hb A1c (HPLC)_%,HbA1c
Haemoglobin A1c,HbA1c
Haemoglobin A1c (IFCC),HbA1c
Hemoglobin A1c (IFCC),HbA1c
Hemoglobin A1c (IM),HbA1c
HbA1c,HbA1c
HbA1c (IFCC),HbA1c
HbA1C,HbA1c
Anti-HDV:,Anti-HDV
ANTI-HDV,Anti-HDV
Anti-Delta :,Anti-HDV
Total antibody to Hepatitis D virus (Anti-HDV total) :,Anti-HDV
Total antibody to Hepatitis D virus (Anti-HDV total)            :,Anti-HDV
Anti-Delta       :,Anti-HDV
Anti-Delta:,Anti-HDV
Anti-HDV,Anti-HDV
Anti-HDV (IgG),Anti-HDV
Total antibody to Hepatitis D virus (Anti-HDV total)            :,Anti-HDV
Hepatitis Anti-DELTA,Anti-HDV
Anti-DELTA :,Anti-HDV
Anti-DELTA       :,Anti-HDV
Anti-Delta       :,Anti-HDV
Anti-Delta antigen,Anti-HDV
Anti-DELTA       :,Anti-HDV
HDV antibody,Anti-HDV
Antibody to Hepatitis D virus (Anti-HDV) :,Anti-HDV
Antibody to Hepatitis D virus,Anti-HDV
Anti-DELTA,Anti-HDV
Total Bilirubin,Tb
Bilirubin (Total),Tb
Total Bili.,Tb
"Bilirubin, Total",Tb
"Bilirubin,Total",Tb
"Bilirubin, total",Tb
MBI_Total Bilirubin_umol/L,Tb
Platelet,PLT
PLT,PLT
Platelet Count,PLT
MHA_PLT_x10^9/L,PLT
MHA_PLATELET_X10^9/L,PLT
AFP(Arch't),AFP
AFP,AFP
"AFP, Serum",AFP
Serum AFP,AFP
Alpha-fetoprotein,AFP
AFP(*),AFP
Alphafetoprotein,AFP
MTM_Alpha fetoprotein_ug/L,AFP
Alpha-fetoprotein (Beckman,AFP
GGT,GGT
Gamma GT,GGT
Gamma-glutamyltransferase (GGT),GGT
MBI_Gamma GT_U/L,GGT
GGTP,GGT
MBI_Gamma GT,GGT
Fasting Glucose,AST
"Glucose, Fasting",AST
"MBI_Glucose, Fasting_mmol/L",AST
"MOG_Glucose, fasting_mmol/L",AST
Fasting Plasma Glucose,AST
Glucose (fasting),AST
Glucose(Fasting),AST
Glucose fasting,AST
"Glucose, fasting",AST
Glucose Fasting,AST
"Glucose fasting, plasma",AST
Glucose (Fasting),AST
Fasting glucose,AST
INR(*),INR
INR,INR
INR1,INR
MPT_INR,INR
INR (OLM),INR
Albumin,ALB
MBI_Albumin_g/L,ALB
Albumin (Hormone),ALB
Hb A1c,HbA1c
HbA1c,HbA1c
HbA1c (IFCC),HbA1c
Hemoglobin A1c (IFCC),HbA1c
Hemoglobin A1c (IM),HbA1c
Haemoglobin A1c,HbA1c
Haemoglobin A1c (IFCC),HbA1c
A1C_Hb A1c (HPLC)_%,HbA1c
HbA1C,HbA1c
Hemoglobin A1c (IM),HbA1c
Haemoglobin A1c,HbA1c
Hemoglobin A1c (IFCC),HbA1c
A1C_Hb A1c (HPLC)_%,HbA1c
Hb A1c,HbA1c
HbA1C,HbA1c
Haemoglobin A1c (IFCC),HbA1c
Hemoglobin A1C,HbA1c
HbA1c,HbA1c
Whole Blood HbA1c,HbA1c
Hemoglobin A1c Ratio,HbA1c
GGT,GGT
Gamma GT,GGT
Gamma-glutamyltransferase (GGT),GGT
MBI_Gamma GT_U/L,GGT
GGTP,GGT
Creatinine,Cr
MBI_Creatinine_umol/L,Cr
Creatini,Cr
Creatinine (old),Cr
Plasma Creatinine,Cr
Creat (blood),Cr
"Creatinine, Seru",Cr
"Creatinine, Serum",Cr
Creat (Serum),Cr
Serum Cr,Cr
Serum Creatinine,Cr
Se. Creatinine,Cr
ALT,ALT
Alanine Transaminase,ALT
Alanine Aminotransferase,ALT
MBI_GPT/ALT_U/L,ALT
MBI_ALANINE AMINOTRANSFERASE_U/L,ALT
ALT (SGPT),ALT
ALT/GPT,ALT
PLT,PLT
Platelet,PLT
Platelet Count,PLT
MHA_PLATELET_X10^9/L,PLT
MHA_PLT_x10^9/L,PLT
GGT,GGT
Gamma GT,GGT
GGTP,GGT
MBI_Gamma GT_U/L,GGT
Gamma-glutamyltransferase (GGT),GGT
AST,AST
Aspartate Aminotransferase,AST
AST (SGOT),AST
Aspartate Transaminase,AST
AST/GOT,AST
MBI_ASPARTATE AMINOTRANSFE,AST
MBI_GOT/AST_U/L,AST
Total Bilirubin,Tb
"Bilirubin, total",Tb
"Bilirubin,Total",Tb
Total Bili.,Tb
MBI_Total Bilirubin_umol/L,Tb
Bilirubin (Total),Tb
Fasting Plasma Glucose,AST
"Glucose, fasting",AST
"MBI_Glucose, Fasting_mmol/L",AST
Fasting Glucose,AST
Glucose (fasting),AST
Glucose(Fasting),AST
"Glucose, Fasting",AST
Glucose fasting,AST
Glucose (Fasting),AST
"MOG_Glucose, fasting_mmol/L",AST
Glucose Fasting,AST
"Glucose fasting, plasma",AST
Fasting glucose,AST
Alpha-fetoprotein,AFP
AFP,AFP
Serum AFP,AFP
"AFP, Serum",AFP
Alphafetoprotein,AFP
AFP (Elecsys),AFP
"Bilirubin,Total",Tb
"Bilirubin, Total",Tb
Total Bilirubin,Tb
"Bilirubin, total",Tb
Bilirubin (Total),Tb
MBI_Total Bilirubin_umol/L,Tb
Total Bili.,Tb
MBI_Total Bilirubin,Tb
Albumin,ALB
MBI_Albumin_g/L,ALB
INR(*),INR
INR,INR
MPT_INR,INR
INR1,INR
INR (OLM),INR
Glucose (fasting),AST
Fasting Plasma Glucose,AST
Glucose Fasting,AST
"Glucose, Fasting",AST
Fasting Glucose,AST
"Glucose fasting, plasma",AST
Glucose fasting,AST
"MBI_Glucose, Fasting_mmol/L",AST
"Glucose, fasting",AST
Glucose(Fasting),AST
"MOG_Glucose, fasting_mmol/L",AST
Glucose (Fasting),AST
Fasting glucose,AST
HbA1c,HbA1c
HbA1c (IFCC),HbA1c
Hemoglobin A1c (IFCC),HbA1c
Hemoglobin A1c (IM),HbA1c
A1C_Hb A1c (HPLC)_%,HbA1c
HbA1C,HbA1c
Hb A1c,HbA1c
Haemoglobin A1c,HbA1c
Haemoglobin A1c (IFCC),HbA1c
GGT,GGT
Gamma GT,GGT
Gamma-glutamyltransferase (GGT),GGT
MBI_Gamma GT_U/L,GGT
GGTP,GGT
Total Bilirubin,Tb
Total Bili.,Tb
MBI_Total Bilirubin_umol/L,Tb
"Bilirubin, Total",Tb
"Bilirubin, total",Tb
"Bilirubin,Total",Tb
Bilirubin (Total),Tb
MBI_Total Bilirubin,Tb
PLT,PLT
Platelet,PLT
Platelet Count,PLT
MHA_PLATELET_X10^9/L,PLT
MHA_PLT_x10^9/L,PLT
ALT/GPT,ALT
Alanine Aminotransferase,ALT
ALT,ALT
Alanine Transaminase,ALT
ALT (SGPT),ALT
MBI_ALANINE AMINOTRANSFERASE_U/L,ALT
MBI_GPT/ALT_U/L,ALT
HbA1c,HbA1c
HbA1c (IFCC),HbA1c
Hb A1c,HbA1c
Haemoglobin A1c,HbA1c
Haemoglobin A1c (IFCC),HbA1c
A1C_Hb A1c (HPLC)_%,HbA1c
Hemoglobin A1c (IFCC),HbA1c
Hemoglobin A1c (IM),HbA1c
HbA1C,HbA1c
Creatinine,Cr
Creatini,Cr
MBI_Creatinine_umol/L,Cr
Creatinine (old),Cr
MBI_Crea,Cr
Creat (blood),Cr
Creat (Serum),Cr
Plasma Creatinine,Cr
Serum Creatinine,Cr
"Creatinine, Seru",Cr
"Creatinine, Serum",Cr
Se. Creatinine,Cr
AFP,AFP
AFP(*),AFP
Serum AFP,AFP
AFP(Arch't),AFP
MTM_Alpha fetoprotein_ug/L,AFP
Alpha-fetoprotein,AFP
Alpha-fetoprotein (Beckman,AFP
"AFP, Serum",AFP
Alphafetoprotein,AFP
Haemoglobin A1c,HbA1c
Haemoglobin A1c (IFCC),HbA1c
A1C_Hb A1c (HPLC)_%,HbA1c
HbA1C,HbA1c
Whole Blood HbA1c,HbA1c
Hb A1c,HbA1c
HbA1c,HbA1c
Hemoglobin A1c (IM),HbA1c
Hemoglobin A1c (IFCC),HbA1c
Hemoglobin A1C,HbA1c
Hemoglobin A1c Ratio,HbA1c
"Bilirubin,Total",Tb
Total Bilirubin,Tb
"Bilirubin, Total",Tb
"Bilirubin, total",Tb
Bilirubin (Total),Tb
MBI_Total Bilirubin_umol/L,Tb
Total Bili.,Tb
Albumin,ALB
MBI_Albumin_g/L,ALB
Albumin (Hormone),ALB
Albumin (BCP),ALB
AST,AST
AST (SGOT),AST
Aspartate Aminotransferase,AST
Aspartate Transaminase,AST
AST/GOT,AST
MBI_GOT/AST_U/L,AST
MBI_ASPARTATE AMINOTRANSFE,AST
"Glucose, fasting",AST
Glucose (fasting),AST
Fasting Glucose,AST
"MBI_Glucose, Fasting_mmol/L",AST
"Glucose, Fasting",AST
Fasting Plasma Glucose,AST
Glucose Fasting,AST
Glucose fasting,AST
Glucose(Fasting),AST
"MOG_Glucose, fasting_mmol/L",AST
"Glucose fasting, plasma",AST
Glucose (Fasting),AST
Fasting glucose,AST
INR,INR
INR(*),INR
INR1,INR
MPT_INR,INR
PLT,PLT
Platelet,PLT
Platelet Count,PLT
MHA_PLT_x10^9/L,PLT
MHA_PLATELET_X10^9/L,PLT
Total Bilirubin,Tb
"Bilirubin,Total",Tb
"Bilirubin, Total",Tb
MBI_Total Bilirubin_umol/L,Tb
"Bilirubin, total",Tb
Bilirubin (Total),Tb
Total Bili.,Tb
GGT,GGT
Gamma GT,GGT
Gamma-glutamyltransferase (GGT),GGT
GGTP,GGT
MBI_Gamma GT_U/L,GGT
MBI_Gamma GT,GGT
Hemoglobin A1c (IM),HbA1c
Haemoglobin A1c,HbA1c
Haemoglobin A1c (IFCC),HbA1c
HbA1c,HbA1c
HbA1c (IFCC),HbA1c
A1C_Hb A1c (HPLC)_%,HbA1c
Hb A1c,HbA1c
HbA1C,HbA1c
Hemoglobin A1c (IFCC),HbA1c
ALT (SGPT),ALT
Alanine Aminotransferase,ALT
ALT/GPT,ALT
ALT,ALT
Alanine Transaminase,ALT
MBI_GPT/ALT_U/L,ALT
MBI_ALANINE AMINOTRANSFERASE_U/L,ALT
Glucose fasting,AST
"Glucose, Fasting",AST
Glucose (fasting),AST
Fasting Plasma Glucose,AST
Fasting Glucose,AST
Glucose (Fasting),AST
Glucose(Fasting),AST
"MBI_Glucose, Fasting_mmol/L",AST
"Glucose fasting, plasma",AST
Fasting glucose,AST
"Glucose, fasting",AST
Glucose Fasting,AST
"MOG_Glucose, fasting_mmol/L",AST
Alpha-fetoprotein,AFP
Alpha-fetoprotein (Beckman,AFP
"AFP, Serum",AFP
AFP(*),AFP
AFP,AFP
MTM_Alpha fetoprotein_ug/L,AFP
Alphafetoprotein,AFP
Serum AFP,AFP
AFP(Arch't),AFP
GGT,GGT
Gamma GT,GGT
Gamma-glutamyltransferase (GGT),GGT
MBI_Gamma GT_U/L,GGT
GGTP,GGT
MBI_Gamma GT,GGT
Haemoglobin A1c (IFCC),HbA1c
Hemoglobin A1c (IFCC),HbA1c
Hemoglobin A1c (IM),HbA1c
Haemoglobin A1c,HbA1c
HbA1C,HbA1c
HbA1c,HbA1c
HbA1c (IFCC),HbA1c
A1C_Hb A1c (HPLC)_%,HbA1c
Hb A1c,HbA1c
A1C_Hb A1c (HPLC)_%,HbA1c
HbA1c,HbA1c
Hemoglobin A1c (IM),HbA1c
Hemoglobin A1c (IFCC),HbA1c
HbA1C,HbA1c
Whole Blood HbA1c,HbA1c
Haemoglobin A1c,HbA1c
Hb A1c,HbA1c
Haemoglobin A1c (IFCC),HbA1c
Hemoglobin A1C,HbA1c
Creatinine,Cr
MBI_Creatinine_umol/L,Cr
Creatini,Cr
Serum Creatinine,Cr
Plasma Creatinine,Cr
Creat (blood),Cr
MBI_Crea,Cr
"Creatinine, Seru",Cr
"Creatinine, Serum",Cr
Creat (Serum),Cr
Creatinine (old),Cr
Se. Creatinine,Cr
INR(*),INR
INR,INR
INR1,INR
MPT_INR,INR
INR (OLM),INR
OINR1,INR
AST,AST
Aspartate Aminotransferase,AST
AST/GOT,AST
AST (SGOT),AST
Aspartate Transaminase,AST
MBI_ASPARTATE AMINOTRANSFE,AST
MBI_GOT/AST_U/L,AST
"Bilirubin,Total",Tb
Total Bilirubin,Tb
"Bilirubin, Total",Tb
Bilirubin (Total),Tb
"Bilirubin, total",Tb
Total Bili.,Tb
MBI_Total Bilirubin_umol/L,Tb
MBI_Total Bilirubin,Tb
PLT,PLT
Platelet,PLT
Platelet Count,PLT
MHA_PLT_x10^9/L,PLT
MHA_PLATELET_X10^9/L,PLT
"Glucose, fasting",AST
"MBI_Glucose, Fasting_mmol/L",AST
Fasting Plasma Glucose,AST
Glucose (fasting),AST
"Glucose, Fasting",AST
Fasting Glucose,AST
Glucose(Fasting),AST
Glucose fasting,AST
Glucose Fasting,AST
"MOG_Glucose, fasting_mmol/L",AST
"Glucose fasting, plasma",AST
Glucose (Fasting),AST
Fasting glucose,AST
Albumin,ALB
MBI_Albumin_g/L,ALB
Albumin (BCP),ALB
Albumin (Hormone),ALB
GGT,GGT
Gamma GT,GGT
Gamma-glutamyltransferase (GGT),GGT
MBI_Gamma GT_U/L,GGT
GGTP,GGT
ALT,ALT
Alanine Aminotransferase,ALT
Alanine Transaminase,ALT
ALT/GPT,ALT
ALT (SGPT),ALT
MBI_ALANINE AMINOTRANSFERASE_U/L,ALT
MBI_GPT/ALT_U/L,ALT
MBI_GPT/ALT,ALT
Total Bilirubin,Tb
"Bilirubin, Total",Tb
MBI_Total Bilirubin_umol/L,Tb
"Bilirubin, total",Tb
"Bilirubin,Total",Tb
Bilirubin (Total),Tb
Total Bili.,Tb
AFP(*),AFP
Alpha-fetoprotein (Beckman,AFP
AFP,AFP
"AFP, Serum",AFP
AFP(Arch't),AFP
Alphafetoprotein,AFP
Alpha-fetoprotein,AFP
Serum AFP,AFP
MTM_Alpha fetoprotein_ug/L,AFP
AFP(e801),AFP
HbA1c,HbA1c
HbA1c (IFCC),HbA1c
Hemoglobin A1c (IFCC),HbA1c
Hemoglobin A1c (IM),HbA1c
A1C_Hb A1c (HPLC)_%,HbA1c
Hb A1c,HbA1c
Haemoglobin A1c,HbA1c
Haemoglobin A1c (IFCC),HbA1c
HbA1C,HbA1c
Fasting Glucose,AST
"Glucose, Fasting",AST
Glucose(Fasting),AST
Glucose Fasting,AST
Fasting Plasma Glucose,AST
"Glucose, fasting",AST
"MBI_Glucose, Fasting_mmol/L",AST
Glucose (fasting),AST
Glucose fasting,AST
"MOG_Glucose, fasting_mmol/L",AST
"Glucose fasting, plasma",AST
Glucose (Fasting),AST
Fasting glucose,AST
PLT,PLT
Platelet,PLT
MHA_PLT_x10^9/L,PLT
Platelet Count,PLT
MHA_PLATELET_X10^9/L,PLT
Creatinine,Cr
Creatini,Cr
MBI_Creatinine_umol/L,Cr
Creat (Serum),Cr
Serum Creatinine,Cr
Creatinine (old),Cr
Plasma Creatinine,Cr
Creat (blood),Cr
"Creatinine, Seru",Cr
"Creatinine, Serum",Cr
MBI_Crea,Cr
Se. Creatinine,Cr
Serum Cr,Cr
GGT,GGT
Gamma GT,GGT
Gamma-glutamyltransferase (GGT),GGT
GGTP,GGT
MBI_Gamma GT_U/L,GGT
"Bilirubin, total",Tb
Total Bilirubin,Tb
MBI_Total Bilirubin_umol/L,Tb
"Bilirubin, Total",Tb
"Bilirubin,Total",Tb
Bilirubin (Total),Tb
Total Bili.,Tb
MBI_Total Bilirubin,Tb
Hb A1c,HbA1c
HbA1c,HbA1c
Whole Blood HbA1c,HbA1c
Hemoglobin A1c (IM),HbA1c
Hemoglobin A1c (IFCC),HbA1c
Haemoglobin A1c,HbA1c
HbA1C,HbA1c
Haemoglobin A1c (IFCC),HbA1c
A1C_Hb A1c (HPLC)_%,HbA1c
Hemoglobin A1C,HbA1c
INR(*),INR
INR,INR
INR1,INR
MPT_INR,INR
INR (OLM),INR
OINR1,INR
Hb A1c,HbA1c
Haemoglobin A1c,HbA1c
Haemoglobin A1c (IFCC),HbA1c
Hemoglobin A1c (IFCC),HbA1c
Hemoglobin A1c (IM),HbA1c
HbA1c,HbA1c
HbA1c (IFCC),HbA1c
HbA1C,HbA1c
A1C_Hb A1c (HPLC)_%,HbA1c
Fasting Plasma Glucose,AST
Glucose fasting,AST
"Glucose, Fasting",AST
"Glucose, fasting",AST
Fasting Glucose,AST
Glucose (fasting),AST
"MBI_Glucose, Fasting_mmol/L",AST
Glucose (Fasting),AST
Glucose(Fasting),AST
Glucose Fasting,AST
"Glucose fasting, plasma",AST
"MOG_Glucose, fasting_mmol/L",AST
Fasting glucose,AST
Alanine Aminotransferase,ALT
ALT,ALT
Alanine Transaminase,ALT
ALT (SGPT),ALT
MBI_ALANINE AMINOTRANSFERASE_U/L,ALT
MBI_GPT/ALT_U/L,ALT
ALT/GPT,ALT
AST,AST
Aspartate Aminotransferase,AST
Aspartate Transaminase,AST
AST (SGOT),AST
AST/GOT,AST
MBI_GOT/AST_U/L,AST
MBI_ASPARTATE AMINOTRANSFE,AST
Total Bilirubin,Tb
"Bilirubin,Total",Tb
"Bilirubin, Total",Tb
MBI_Total Bilirubin_umol/L,Tb
Bilirubin (Total),Tb
"Bilirubin, total",Tb
MBI_Total Bilirubin,Tb
Total Bili.,Tb
Albumin,ALB
MBI_Albumin_g/L,ALB
Albumin (BCP),ALB
Albumin (Hormone),ALB
Alpha-fetoprotein,AFP
Serum AFP,AFP
AFP,AFP
AFP(Arch't),AFP
Alpha-fetoprotein (Beckman,AFP
"AFP, Serum",AFP
Alphafetoprotein,AFP
MTM_Alpha fetoprotein_ug/L,AFP
AFP(*),AFP
AFP(e801),AFP
PLT,PLT
Platelet,PLT
Platelet Count,PLT
MHA_PLT_x10^9/L,PLT
MHA_PLATELET_X10^9/L,PLT
INR,INR
INR(*),INR
INR (OLM),INR
INR1,INR
MPT_INR,INR
Haemoglobin A1c,HbA1c
Haemoglobin A1c (IFCC),HbA1c
HbA1c,HbA1c
HbA1c (IFCC),HbA1c
Hb A1c,HbA1c
A1C_Hb A1c (HPLC)_%,HbA1c
HbA1C,HbA1c
Hemoglobin A1c (IFCC),HbA1c
Hemoglobin A1c (IM),HbA1c
GGT,GGT
Gamma-glutamyltransferase (GGT),GGT
MBI_Gamma GT_U/L,GGT
Gamma GT,GGT
GGTP,GGT
Creatinine,Cr
Creatini,Cr
MBI_Creatinine_umol/L,Cr
Creatinine (old),Cr
Creat (blood),Cr
Plasma Creatinine,Cr
Serum Creatinine,Cr
"Creatinine, Seru",Cr
Creat (Serum),Cr
MUR_Serum Creatinine_umol/L,Cr
MBI_Crea,Cr
Serum Cr,Cr
Se. Creatinine,Cr
Fasting Glucose,AST
"Glucose, Fasting",AST
Glucose (Fasting),AST
Glucose fasting,AST
"Glucose fasting, plasma",AST
